05-12-2023 02:41:22.278,-,AT,"Xbee A,0013A20041CF239C,802.15.4 TH,2003,COM6 - 9600/8/N/1/N,1,46"

05-12-2023 02:41:47.692,0,SENT,746573740D3132333435
05-12-2023 02:41:48.197,1,SENT,746573740D3132333435
05-12-2023 02:41:48.706,2,SENT,746573740D3132333435
05-12-2023 02:41:49.211,3,SENT,746573740D3132333435
05-12-2023 02:41:49.719,4,SENT,746573740D3132333435
05-12-2023 02:41:50.225,5,SENT,746573740D3132333435
05-12-2023 02:41:50.733,6,SENT,746573740D3132333435
05-12-2023 02:41:51.241,7,SENT,746573740D3132333435
05-12-2023 02:41:51.748,8,SENT,746573740D3132333435
05-12-2023 02:41:52.254,9,SENT,746573740D3132333435
05-12-2023 02:41:52.759,10,SENT,746573740D3132333435
05-12-2023 02:41:53.266,11,SENT,746573740D3132333435
05-12-2023 02:41:53.772,12,SENT,746573740D3132333435
05-12-2023 02:41:54.273,13,SENT,746573740D3132333435
05-12-2023 02:41:54.779,14,SENT,746573740D3132333435
05-12-2023 02:41:55.284,15,SENT,746573740D3132333435
05-12-2023 02:41:55.792,16,SENT,746573740D3132333435
05-12-2023 02:41:56.298,17,SENT,746573740D3132333435
05-12-2023 02:41:56.806,18,SENT,746573740D3132333435
05-12-2023 02:41:57.311,19,SENT,746573740D3132333435
05-12-2023 02:41:57.817,20,SENT,746573740D3132333435
05-12-2023 02:41:58.325,21,SENT,746573740D3132333435
05-12-2023 02:41:58.833,22,SENT,746573740D3132333435
05-12-2023 02:41:59.339,23,SENT,746573740D3132333435
05-12-2023 02:41:59.847,24,SENT,746573740D3132333435
05-12-2023 02:42:00.355,25,SENT,746573740D3132333435
05-12-2023 02:42:00.862,26,SENT,746573740D3132333435
05-12-2023 02:42:01.364,27,SENT,746573740D3132333435
05-12-2023 02:42:01.870,28,SENT,746573740D3132333435
05-12-2023 02:42:02.378,29,SENT,746573740D3132333435
05-12-2023 02:42:02.884,30,SENT,746573740D3132333435
05-12-2023 02:42:03.394,31,SENT,746573740D3132333435
05-12-2023 02:42:03.899,32,SENT,746573740D3132333435
05-12-2023 02:42:04.406,33,SENT,746573740D3132333435
05-12-2023 02:42:04.910,34,SENT,746573740D3132333435
05-12-2023 02:42:05.417,35,SENT,746573740D3132333435
05-12-2023 02:42:05.923,36,SENT,746573740D3132333435
05-12-2023 02:42:06.429,37,SENT,746573740D3132333435
05-12-2023 02:42:06.935,38,SENT,746573740D3132333435
05-12-2023 02:42:07.443,39,SENT,746573740D3132333435
05-12-2023 02:42:07.951,40,SENT,746573740D3132333435
05-12-2023 02:42:08.452,41,SENT,746573740D3132333435
05-12-2023 02:42:08.959,42,SENT,746573740D3132333435
05-12-2023 02:42:09.467,43,SENT,746573740D3132333435
05-12-2023 02:42:09.975,44,SENT,746573740D3132333435
05-12-2023 02:42:10.481,45,SENT,746573740D3132333435
05-12-2023 02:42:10.987,46,SENT,746573740D3132333435
05-12-2023 02:42:11.494,47,SENT,746573740D3132333435
05-12-2023 02:42:12.000,48,SENT,746573740D3132333435
05-12-2023 02:42:12.507,49,SENT,746573740D3132333435
05-12-2023 02:42:13.013,50,SENT,746573740D3132333435
05-12-2023 02:42:13.521,51,SENT,746573740D3132333435
