05-12-2023 02:41:29.258,-,AT,"Xbee B,0013A20041B5D5BE,802.15.4 TH,2003,COM7 - 9600/8/N/1/N,1,46"

05-12-2023 02:41:47.753,0,RECV,746573740D3132333435
05-12-2023 02:41:48.259,1,RECV,746573740D3132333435
05-12-2023 02:41:48.768,2,RECV,746573740D3132333435
05-12-2023 02:41:49.274,3,RECV,746573740D3132333435
05-12-2023 02:41:49.781,4,RECV,746573740D3132333435
05-12-2023 02:41:50.289,5,RECV,746573740D3132333435
05-12-2023 02:41:50.796,6,RECV,746573740D3132333435
05-12-2023 02:41:51.303,7,RECV,746573740D3132333435
05-12-2023 02:41:51.810,8,RECV,746573740D3132333435
05-12-2023 02:41:52.316,9,RECV,746573740D3132333435
05-12-2023 02:41:52.821,10,RECV,746573740D3132333435
05-12-2023 02:41:53.328,11,RECV,746573740D3132333435
05-12-2023 02:41:53.834,12,RECV,746573740D3132333435
05-12-2023 02:41:54.334,13,RECV,746573740D3132333435
05-12-2023 02:41:54.841,14,RECV,746573740D3132333435
05-12-2023 02:41:55.347,15,RECV,746573740D3132333435
05-12-2023 02:41:55.856,16,RECV,746573740D3132333435
